,Question,,,,Response,
60,"ବୁଣାଯାଇଥିବା ଧାନ ବିଲରେ ଜୁଆଣିଆ, ଫୁଲିଆ ଓ ଘୋଡାନାନ୍ଦିଆ ଘାସର ନିୟନ୍ତ୍ରଣ ପାଇଁ କେଉଁ ରାସାୟନିକ ଔଷଧ ପ୍ରୟୋଗ କରିବାକୁ ପଡିବ ଓ ଗଛ ମଧ୍ୟ ଭଲ ରହିବ? ","What chemicals should be applied to control weeds, grasses and horsetail weeds in planted rice fields and the plants will survive?",Weed management,,"ବୁଣାଯାଇଥିବା ଧାନ ବିଲରେ ଯଦି ଜୁଆଣିଆ, ଫୁଲିଆ ଓ ଘୋଡାନାନ୍ଦିଆ ଘାସ ଦେଖାଯାଏ ତାହେଲେ ଏହାର ନିୟନ୍ତ୍ରଣ ପାଇଁ ବୁଣିବାର 15-20 ଦିନ ମଧ୍ୟରେ ହେକ୍ଟର ପ୍ରତି 60 ଗ୍ରାମ triafamone + ethoxysulfuron ନାମକ ଘାସମରା ଔଷଧ ପ୍ରୟୋଗ କରନ୍ତୁ । Floodjet nozzle ସାହାଯ୍ୟରେ ହେକ୍ଟର ପ୍ରତି  500 ଲିଟର ପାଣି  ପ୍ରୟୋଗ କରି ଉପଯୁକ୍ତ ଆର୍ଦ୍ରତା ସୁନିଶ୍ଚିତ କରନ୍ତୁ । ","If young, flowering and horsetail grass appear in the sown paddy fields, then apply triafamone + ethoxysulfuron 60 grams per hectare within 15-20 days of sowing to control it. Ensure adequate moisture by applying 500 liters of water per hectare with the help of Floodjet nozzle."
61,ଧାନ ଚଷୁକୁ ଗୁଣ୍ଡ କଲେ ଗୋଖାଦ୍ୟ ରୂପେ ବ୍ୟବହାର କରିହେବ କି?,,Post Harvest Management,,ଧାନ ଚଷୁରେ ସିଲିକା ବ୍ଯତୀତ କୌଣସି ଖାଦ୍ୟସାର ନ ଥାଏ। ତେଣୁ ଧାନ ଚଷୁକୁ ଗୁଣ୍ଡ କରି ଗୋଖାଦ୍ୟ ରୂପେ ବ୍ୟବହାର କରିହେବ ନାହିଁ।,
62,କେଉଁ କଳରେ ଧାନ ପେଷିବା ପାଇଁ କମ ସମୟ ଲାଗେ?,,Post Harvest Management,,ଧାନ ସେଲରରେ ପେଷିଲେ ୬୮-୬୯% ଓ ହଲରରେ ପେଷିଲେ ୬୨-୬୪% ଚାଉଳ ମିଳେ। କୌଣସି ନିର୍ଦ୍ଦିଷ୍ଟ ପରିମାଣ ଧାନକୁ ପେଷିବା ପାଇଁ ଉଭୟ ପ୍ରକାର କଳରେ ପ୍ରାୟ ସମାନ ସମୟ ଲାଗେ।,
63,ବେଙ୍ଗଳା ପରେ ଧାନକୁ ନ ଶୁଖାଇ ପେଷାଯାଇ ପାରିବ କି?,,Post Harvest Management,Behusani,ସାଧାରଣତଃ ବେଙ୍ଗଳା ବେଳେ ଧାନରେ ୧୬-୧୮% ଆଦ୍ରତା ଥାଏ କିନ୍ତୁ ଗୋଟା ଚାଉଳ ପାଇବା ପାଇଁ ପେଷିବାବେଳେ ଧାନରେ ୧୪% ଆଦ୍ରତା ରହିବା ଦରକାର। ତେଣୁ ବେଙ୍ଗଳାପରେ ଧାନକୁ ଶୁଖାଇ ଆବଶ୍ୟକ ଆଦ୍ରତାକୁ ଆଣି ପେଷିବା ଉଚିତ।,
64,ଧାନକୁ କିପରି ପାଗ କଲେ ଗୋଟା ଚାଉଳ ଅଧିକ ମିଳିବ?,,Culivation Practices,Climate,ଧାନକୁ ଭଲଭାବରେ ଶୁଖାଇ ଆବଶ୍ୟକ ଆଦ୍ରତା ଥାଇ ପେଷିବା ଉଚିତ। କିନ୍ତୁ ଧାନକୁ ନିରବଚ୍ଛିନ୍ନ ଭାବେ ଖରାରେ ସୁଖାଇବା ଅନୁଚିତ। ଏହାଦ୍ଵାରା ଧାନରେ ଫାଟ ସୃଷ୍ଟି ହୁଏ ଓ ଚାଉଳ ଭାଙ୍ଗିଯାଏ। ଗୋଟା ଚାଉଳ ପାଇବା ପାଇଁ ପେଷିବାବେଳେ ଧାନରେ ୧୪% ଆଦ୍ରତା ରହିବା ଦରକାର। ଧାନକୁ  ୧୨ ଘଣ୍ଟା ପର୍ଯ୍ୟନ୍ତ ଶୁଖାଇ ଘୋଡାଇ ଦେବା ଉଚିତ ଓ ୨-୩ ଘଣ୍ଟା ପରେ ପୁଣି ଶୁଖାଇ ପାଗକୁ ଆଣିବା ଉଚିତ।,
65,ଧାନର MTU-1001 କିସମର ବଙ୍ଗୀ ପ୍ରତିରୋଧ ଶକ୍ତି ଅଛି କି?,,Seeds and Sowing,Varietal Selection,ଧାନର MTU-1001 କିସମର ବଙ୍ଗୀ ପ୍ରତିରୋଧ ଶକ୍ତି ନାହିଁ।,
66,କେରୋସିନ ପକାଇ ଧାନର ଅନିଷ୍ଟକାରୀ କୀଟମାନଙ୍କୁ ନିୟନ୍ତ୍ରଣ କରିହବ କି?,,Pest and Disease Management,,କେରୋସିନ ପତ୍ରକୁ ପୋଡିଦିଏ। ତେଣୁ ଫସଲ ଉପରେ କେରୋସିନ ଛିଞ୍ଚାଯାଇ ପାରିବ ନାହିଁ। ଧାନ ଜମିର ଠିଆ ପାଣି ଉପରେ  ଠାଏ ଠାଏ କେରୋସିନ ଢାଳି ନଳି ପୋକକୁ ନିୟନ୍ତ୍ରଣ କରାଯାଇପାରିବ।,
67,ଧାନ ତଳିର ପତ୍ର ଅଗକୁ ଛିଣ୍ଡାଇ ରୋଇବା ଭଲ କି?,,Culivation Practices,Transplsnting,ତଳିକୁ ଯଦି କାଣ୍ଡବିନ୍ଧା ପୋକ କିମ୍ବା ବିରିହା ପୋକ ଆକ୍ରମଣ କରିଥାଏ ତେବେ ତଳି ପତ୍ର ଅଗକୁ ଛିଣ୍ଡାଇ ରୋଇଲେ ଉପକାର ମିଳେ। ନହେଲେ ଏପରି ରୋଇବାର ଆବଶ୍ୟକତା ନାହିଁ। କାଣ୍ଡବିନ୍ଧା ପୋକ ଧାନ ତଳିର ପତ୍ର ଅଗରେ ଅଣ୍ଡା ଦିଏ ଏବଂ ବିରିହା ପୋକର ଅର୍ଭକ ତଳି ପତ୍ର ଅଗରେ ରହେ। ଏହାବ୍ଯତୀତ ଧାନ ରୋଇବା ଡେରିହେଲେ ଡେଙ୍ଗା ତଳି ଭାଙ୍ଗିଯିବାର ସମ୍ଭାବନା ଥାଏ।  ତେଣୁ ଧାନ ତଳିର ପତ୍ର ଅଗକୁ ଛିଣ୍ଡାଇ ରୋଇଲେ ଉପକାର ମିଳେ।,
68,ନିମପିଡିଆ ଦ୍ଵାରା ଧାନର ଅନିଷ୍ଟକାରୀ କୀଟମାନଙ୍କୁ ନିୟନ୍ତ୍ରଣ କରିହବ କି?,,Pest and Disease Management,,ଧାନ ଜମିକୁ କାଦୁଅ କଲାବେଳେ ହେକ୍ଟର ପ୍ରତି ୫୦୦ କିଲୋଗ୍ରାମ ହିସାବରେ ନିମପିଡିଆ ପ୍ରୟୋଗ କଲେ ଫସଲରେ କାଣ୍ଡବିନ୍ଧା ଓ ବଙ୍ଗୀ ପୋକ ଆକ୍ରମଣ କମ ହେବାସହ ମାଟିରେ ଥିବା ଅନିଷ୍ଟକାରୀ କୀଟ ଓ ସୂତ୍ରକୃମି ମଧ୍ୟ ମରିଯାନ୍ତି । ତେଣୁ ନିମପିଡିଆ ପ୍ରୟୋଗ ପରେ ରୋଗପୋକ ସମସ୍ଯା ଦେଖାଦେଲେ ଉପଯୁକ୍ତ ଔଷଧ ପକାଇ ପ୍ରତିକାର କରିବାକୁ ହବ ।,
69,ଧାନ ବିଲରେ ଜୋକ କିପରି ନିୟନ୍ତ୍ରଣ ହେବ ?,,Pest and Disease Management,Leech,ଠିଆ ପାଣି ରହୁଥିବା ଧାନ ଜମିରେ ଜୋକ ଦେଖାଯାଏ। କେବଳ ଜୋକ ମାରିବାପାଇଁ କୀଟନାଶକ ପ୍ରୟୋଗ କରାଯାଇପାରିବ ନାହିଁ । କାରଣ ଏହାର କୁପ୍ରଭାବ ଅନ୍ୟ ଜଳଚର ଜୀବମାନଙ୍କ ଉପରେ ପଡିବ। ନିମ କିମ୍ବା କରଞ୍ଜ ତେଲକୁ ହାତ ଓ ଗୋଡରେ ଲଗାଇ ଧାନ ବିଲରେ କାମ କଲେ ଜୋକ ଆକ୍ରମଣରୁ ରକ୍ଷା ପାଇପାରିବେ। ,
70,ଧାନ ଅମଳ ପରେ ବିହନକୁ bavistinରେ ଗୋଳାଇ ରଖିହବ କି ?,,Post Harvest Management,Seed Treatment,କିଲୋଗ୍ରାମ ପ୍ରତି ୨ ଗ୍ରାମ ହିସାବରେ Bavistin କିମ୍ବା Carbendazim ଔଷଧରେ ଗୋଳାଇ ରଖାଯାଇପାରିବ। ମାତ୍ର ବିଶୋଧିତ ବିହନକୁ କୌଣସି ପରିସ୍ଥିତିରେ ଖାଦ୍ଯରୂପେ ବ୍ୟବହାର କରିହେବ ନାହିଁ । ,
71,ଧାନ ବିହନକୁ ବିଶୋଧନ କରିବାପାଇଁ କେତେ ପାଣି ଆବଶ୍ୟକ ?,,Seeds and Sowing,Seed Treatment,ଧାନ ବିହନକୁ ବିଶୋଧନ କରିବାପାଇଁ ପ୍ରତି କିଲୋଗ୍ରାମ ବିହନ ପିଛା ୧ ଲିଟର ପାଣି ଆବଶ୍ୟକ ।,
72,ବତୁରାଇବା ପରେ ବିହନକୁ ବିଶୋଧନ କରିହବକି ?,,Seeds and Sowing,Seed Treatment,"ବିହନର ଓଦା ବିଶୋଧନ, କେବଳ ବତୁରାଇବା ସମୟରେ କଲେ ସେଥିରୁ ଉପକାର ମିଳେ । ବିହନ ବିଶୋଧନ ପାଇଁ ମାଟି ପାତ୍ର କିମ୍ବା ସିମେନ୍ଟ କୁଣ୍ଡ ବ୍ୟବହାର କରିବା ଭଲ । ପାତ୍ରର ଅଭାବରେ ମାଟିରେ ଗୋଟେ ଗାତ ଖୋଳି ପଲିଥିନ ବିଛାଇ ବିହନକୁ ଓଦା ବିଶୋଧନ କରିହେବ।",
73,ଧାନରେ ସବୁଜ ସାର କିପରି ପ୍ରୟୋଗ କରାଯାଏ ?,,Fertilizer Management,Green Manuring,"ସବୁଜ ସାର ପାଇଁ ଧଣିଚା, ବରଗୁଡି, ବିଲାତି ଧଣିଚା, ଛଣି ଆଦି ଫସଲକୁ ଚାଷ ଜମିରେ ବୁଣି ଦିଅନ୍ତୁ । ଫସଲଟି ୬ସପ୍ତାହର ହେଲାପରେ ହଳ କରି ମାଟିରେ ମିଶାଇ ଦିଅନ୍ତୁ । ବୁଣା ଜମିରେ ଏକର ପ୍ରତି ୨୦ କିଲୋଗ୍ରାମ ଛଣି କିମ୍ବା ଗୁଆଁର, ୧୦ କିଲୋଗ୍ରାମ ଧଣିଚା କିମ୍ବା ବରଗୁଡି ବିହନ ବୁଣନ୍ତୁ। ବେଉଷଣ ବେଳେ ସବୁଜ ସାରକୁ ମାଟିରେ ମିଶାଇ ଦିଅନ୍ତୁ । ଧଣିଚା ଓ ବିଲାତି ଧଣିଚାକୁ ବର୍ଷାଦିନେ ମଧ୍ୟମ ଓ ଖାଲ ଜମିରେ ଧାନ ରୋଇବାର ଠିକ ୬ ସପ୍ତାହ ପୁର୍ବୁରୁ ଏକର ପ୍ରତି ୧୦ କିଲୋଗ୍ରାମ ହିସାବରେ ଜମିରେ ବୁଣନ୍ତୁ । ଧାନ ଫସଲ ପାଇଁ ଦରକାର ପଡୁଥିବା ସମସ୍ତ ଫସଫରସ ସାର ଧଣିଚା ବୁଣିଲାବେଳେ ଦିଆଯାଏ । ହଳ କରି ଏହାକୁ ଭଲଭାବରେ ମାଟିରେ ମିଶାଇ ଦିଅନ୍ତୁ । ଏକରକୁ ୮ -୧୦ ଟନ ପର୍ଯ୍ୟନ୍ତ ସବୁଜ ପଦାର୍ଥ ମାଟିରେ ମିଶି ପ୍ରାୟ ୧୦-୧୨ କିଲୋଗ୍ରାମ ପର୍ଯ୍ୟନ୍ତ ଯବକ୍ଷାରଯାନ ଫସଲକୁ ମିଳିଥାଏ ।",
74,ଧାନରେ ଆଜୋଲା କିପରି ପ୍ରୟୋଗ କରାଯାଏ ?,,Fertilizer Management,Azolla,ରୁଆ ଧାନରେ ୨-୩ ସପ୍ତାହ ଆଗରୁ ଜମିକୁ ସମତୁଲ କରି ୪-୬ ଇଞ୍ଚ ପାଣି ରଖନ୍ତୁ । ଏକର ପ୍ରତି ୪ କୁଇଣ୍ଟାଲ ଆଜୋଲା ଆଣି ଜମିରେ ଛାଡନ୍ତୁ । ଏହା ପରେ  ଏକର ପ୍ରତି ୨୫ କିଲୋଗ୍ରାମ ସୁପର ଫସଫେଟ ସାରକୁ ୩ ଭାଗ କରି ୩ ଥରରେ ଜମିରେ ପ୍ରୟୋଗ କରନ୍ତୁ । ୩ ସପ୍ତାହ ବେଳକୁ ଜମିରେ ଆଜୋଲାର ଏକ ଆସ୍ତରଣ ମାଡିଯିବାର ଦେଖିଲେ ପାଣି କାଟି ଦିଅନ୍ତୁ । ହଳ କରି ଏହାକୁ ମାଟିରେ ମିଶାଇ ଦିଅନ୍ତୁ । ୩ ସପ୍ତାହ ବେଳକୁ ଏହାର ପରିମାଣ ପ୍ରାୟ ୩୨ କୁଇଣ୍ଟାଲ ହୋଇଥିବ ଏବଂ ଏଥିରୁ ପ୍ରାୟ ୧୦-୧୨ କିଲୋଗ୍ରାମ ଯବକ୍ଷାରଯାନ ଫସଲକୁ ମିଳିଥାଏ । ଧାନ ରୁଆ ସରିଥିଲେ ଏହାର ୭ ଦିନ ପରେ ଏକର ପ୍ରତି ୪ କୁଇଣ୍ଟାଲ ଆଜୋଲା ଆଣି ଜମିରେ ଛାଡନ୍ତୁ । ୩ ସପ୍ତାହ ପରେ ଜମିରୁ ପାଣି କାଟି ଘାସବଛା ଯନ୍ତ୍ର ସାହାଯ୍ୟରେ ଆଜୋଲକୁ ମାଟିରେ ମିଶାଇ ଦିଅନ୍ତୁ ।,
75,ଧାନରେ ନୀଳହରିତ ଶୈବାଳ (B.G.A) କିପରି ପ୍ରୟୋଗ କରାଯାଏ ?,,Fertilizer Management,BGA,ଧାନ ରୁଆର ସାତ ଦିନ ପରେ ଏକରକୁ ୬ କିଲୋଗ୍ରାମ ହିସାବରେ B.G.A ପ୍ରୟୋଗ କରନ୍ତୁ । ୫୦ କିଲୋଗ୍ରାମ ସୁପର ଫସଫେଟ ସାରକୁ ୩ ଭାଗ କରି ୩ ଥରରେ ଜମିରେ ପ୍ରୟୋଗ କରନ୍ତୁ । ଜମିରୁ ପାଣି ଶୁଖିବାକୁ ଦିଅନ୍ତୁ ନାହିଁ। B.G.A ପଡିଥିବା ଜମିରେ ସାଧାରଣତଃ ଏକର ପ୍ରତି ପ୍ରାୟ ୧୦ କିଲୋଗ୍ରାମ ଯବକ୍ଷାରଯାନ ଫସଲକୁ ମିଳିଥାଏ ।,
76,ରବି ଋତୁରେ ବାସୁମତୀ ଧାନ ଚାଷ କଲେ ଏହାର ସୁବାସ ଉପରେ କିଛି କୁପ୍ରଭାବ ପଡେ କି ?,,Cultivation Practices,Seed and sowing,ବାସୁମତୀ ଧାନର ସୁବାସ phenolic ପଦାର୍ଥ ଯୋଗୁ ହୋଇଥାଏ ଏବଂ ଅପେକ୍ଷାକୃତ ଥଣ୍ଡା ଜଳବାୟୁରେ ଚାଷ କଲେ ସୁବାସ ଭଲ ରହେ । ଡାଳୁଅ ଧାନର ଦାନା ଗଠନ ଓ ପାକଳ ଅବସ୍ଥାରେ ବାୟୁମଣ୍ଡଳର ତାପମାତ୍ରା ଆବଶ୍ୟକତା ଠାରୁ ଅଧିକ ରହୁଥିବାରୁ ଧାନର ସୁବାସ ହ୍ରାସ ପାଏ । ଯଦି ଉଚ୍ଚ ତାପମାତ୍ରାରେ ଚାଷ କରିବେ ତେବେ ଧାନରେ ସୂକ୍ଷ୍ମ ଫାଟ ସୃଷ୍ଟି ହୁଏ ଓ ପେଷିବାବେଳେ ଅଧିକାଂଶ ଚାଉଳ ଭାଙ୍ଗେ ।,
77,ମରୁଡି ପଡିଲେ ଦେଶୀ ଧାନ ତୁଳନାରେ HYV ଧାନ ଅଧିକ ନଷ୍ଟ ହଉଛି କାହିଁକି ?,,Cultivation Practices,,ଦେଶୀ ଧାନ ତୁଳନାରେ HYV ଧାନରେ ସିଲିକା ଭାଗ କମ ଥାଏ । ଏହାର ଚେର ରସାଳ ଓ କମ ଗଭୀର କୁ ଯାଏ । ତେଣୁ ମରୁଡି ପଡିଲେ HYV ଧାନଗୁଡିକ ଅପେକ୍ଷାକୃତ ଅଧିକ ନଷ୍ଟ ହୁଏ ।,
78,ଦେଶୀ ଧାନ ଠାରୁ HYV ଧାନରେ ରୋଗପୋକ ସମସ୍ଯା ଅଧିକ କାହିଁକି ?,,Cultivation Practices,,HYV ଅଧିକ ସାର ବ୍ୟବହାର କରେ । ଏ ପ୍ରକାର ଧାନ ଗଛ ଅଧିକ ପିଲ ଦିଏ ଏବଂ ନରମ ରହେ । ତେଣୁ ଏଥିରେ ରୋଗପୋକ ଅଧିକ ଦେଖାଦିଏ । ଦେଶୀ ଧାନରେ ପିଲ କମ ହୁଏ ଓ ଗଛ ଟାଣ ରହେ । ତେଣୁ ଦେଶୀ ଧାନରେ କମ ରୋଗପୋକ ସମସ୍ଯା ଦେଖାଯାଏ ।,
79,ଧାନ ବିହନ ବିଶୋଧନ ପାଇଁ କେତେ ପାଣି ଆବଶ୍ୟକ ?,,Seed and sowing,Seed Treatment,ଧାନ ବିହନ ବିଶୋଧନ ପାଇଁ କିଲୋଗ୍ରାମ ପ୍ରତି ୧ ଲିଟର ପାଣି ଆବଶ୍ୟକ ।,
80,ଗୋବର ପାଣିଦ୍ଵାରା ଧାନର ପତ୍ରପୋଡା ରୋଗକୁ ରୋକାଯାଇ ପାରିବ କି ?,,Pest and disease management ,BLB,ଗୋବର ପାଣିଦ୍ଵାରା ଧାନର ପତ୍ରପୋଡା ରୋଗକୁ ନିୟନ୍ତ୍ରଣ କରିବା ପାଇଁ କୌଣସି ଗବେଷଣା ଲବ୍ଧ ତଥ୍ୟ ନାହିଁ । ତେଣୁ ଏହା ଅନୁମୋଦନ କରାଯାଏ ନାହିଁ।,
81,ମୋର ଧାନ ଗଛର ପତ୍ର ଧଳା ହୋଇଯାଉଛି?,,Pest and disease Management,Thrips,"ଆପଣ ଧାନ ରେ ଗୁଣ୍ଡି ପୋକ ବା ଶୋଷକ ପୋକ ଲାଗିଛି ଏବନ ଏହା କୁ କେମିତି ନିୟନ୍ତ୍ରଣ କରିବେ ଜାଣିବାକୁ ଚାହିଁ ଥିଲେ। ଏହି ପୋକ ର ନିୟନ୍ତ୍ରଣ ପାଇଁ ଆପଣ Flonicamide 50%WG ଔଷଧ ଯାହାକି Ulala ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ କିମ୍ବା Dinotefuran 10%SG ଔଷଧ ଯାହାକି Osheen ବା Token ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Imidachlorpid17.8%SL ଔଷଧ ଯାହାକି Confidor ବା Tatamida ନା ରେ ମିଳୁଛି 5ମିଲି ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ । ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
82,ଧାନ ତଳି ରେ ମୂଳ ସଢା ରୋଗ ଦେଖା ଯାଉଛି?,,Pest and disease Management,Foot rot,"ଆପଣ ପଚାରି ଥିଲେ ଯେ ତଳି ଗୁଡିକ ସଢି ଯାଉଛି ଏବଂ ସୁଖୀକି ମରି ଯାଉଛି। ଏହାର ପ୍ରତିକାର କରିବା ପାଇଁ ଆପଣ Copper oxychloride88% w/w ଔଷଧ ଯାହାକି Blitox-50 ନାମରେ ମିଳୁଛି ସେଥିରୁ 30-ଗ୍ରାମ ଏବଂ 15-ଗ୍ରାମ Plantomycin ଔଷଧ କୁ 15-ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200-ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡିଥାଏ ।",
